Korean	MatchCode
데몬로드__	DemonLord__
디오니스	Dionys
드라코리치	Dracorich
드래곤	Dragon
드래곤파피	DragonPappy
드래곤파피_	DragonPappy_
드래곤파피__	DragonPappy__
드레드타우르스	Dreadtaurs
드레드타우르스_	Dreadtaurs_
독수리	Eagle
이글	Eagle_
이프리트바질리	EfreetBazilisk
이프리트드라코	EfreetDracolich
엘더싸이클롭	ElderCyclops
엘더싸이클롭_	ElderCyclops_
엘더싸이클롭__	ElderCyclops__
엘더포에마	ElderForema
다크엘프메지션	ElfMagician
다크엘프메지션_	ElfMagician_
용병이자베스	Elizabeth
이자베스	Elizabeth
조합원엠피스	Empis
에린	Erin
개척단장	ExploitLeader
폴른트롤	FallenTroll
폴른트롤_	FallenTroll_
폴른트롤__	FallenTroll__
상인파르체	Farche
펜릴	Fenrir
필드컴배턴트	FieldCombatant
필드컴배턴트_	FieldCombatant_
파이어가고일	FireGagoil
파이어가고일_	FireGagoil_
파이어가고일__	FireGagoil__
파이어고렘	FireGolem
파이어고렘_	FireGolem_
파이어고렘__	FireGolem__
화이어타이거	FireTiger
1관문트레이너	FirstTrainer
팔로어	Follower
팔로어_	Follower_
팔로어__	Follower__
팔로어___	Follower___
팔로어____	Follower____
팔로어_____	Follower_____
포스싸이클롭_	ForceCyclop_
포스싸이클롭스	ForceCyclops
포스오크	ForceOrc
퍼스트포어러너	ForeLearner
포에마	Forema
프리크트롤	FreakTroll
프리크트롤_	FreakTroll_
프리크트롤__	FreakTroll__
프리크트롤___	FreakTroll___
프렌지데몬로드	FrenzyDemonLord
프로기어쌔신___	FrogAssassin_
프로기어쌔신	FroggyAssassin
프로기나이트	FroggyKnight
프로기뮤턴트	FroggyMutant
프로기팬텀	FroggyPhantom
프로즌트롤	FrozenTroll
퓨너모멘터	FunerMomenter
퓨너싸이더	FunerScyther
퓨너시머	FunerSeamer
퓨너시머@	FunerSeamer@
퓨너시머_	FunerSeamer_
퓨너시머__	FunerSeamer__
퓨너시클러	FunerSickler
퓨너시클러_	FunerSickler_
퓨너시클러__	FunerSickler__
가고일	Gagoil
가고일@	Gagoil@
가고일_	Gagoil_
가고일대장	GagoilChief
무기상인갈포드	Galford
Gate	Gate
문지기	GateKeeper
구울	Ghoul
구울_	Ghoul_
구울__	Ghoul__
구울치프	GhoulChief
구울치프_	GhoulChief_
구울치프__	GhoulChief__
구울치프___	GhoulChief___
자이언트크릴	GiantCrill
자이언트크릴_	GiantCrill_
구렁이	GiantSnake
구렁이_	GiantSnake_
마법의신관	GodGovernment
골드드래곤	GoldDragon
골든위도워	GoldenWidower
골든위도워@	GoldenWidower@
골드그림락	GoldGrimLock
골드헤츨링	GoldHezling
골드히드라	GoldHydra
골드히드라@	GoldHydra@
골드히드라_	GoldHydra_
그렘린	Gremlin
그렘린_	Gremlin_
그렘린디코이	GremlinDecoy
그렘린킹	GremlinKing
그렘린킹_	GremlinKing_
그렘린킹__	GremlinKing__
그림락	GrimLock
그림락_	GrimLock_
그림락__	GrimLock__
그림락___	GrimLock___
그리폰	Griphon
그럽스웜	GrubSwarm
그럽스웜@	GrubSwarm@
아르미아경비병	Guard
아르미아경비병_	Guard_
근위대장	GuardChief
근위대장_	GuardChief_
가드그림락	GuardGrimLock
가드그림락_	GuardGrimLock_
가드그림락__	GuardGrimLock__
가디언	Guardian
가디언_	Guardian_
가디언__	Guardian__
가디언___	Guardian___
가디언____	Guardian____
가디언_____	Guardian_____
수호탑	GuardTower
수호탑_	GuardTower_
하프오크	HalfOrc
하프오크_	HalfOrc_
하프오크__	HalfOrc__
하프오크___	HalfOrc___
하네스드호스	HarnessedHorse
하네스드호스_	HarnessedHorse_
헤비타론	HeavyTaron
헬리치	HellLich
헬스파이더	HellSpider
헬스파이더_	HellSpider_
세이버오브헤라	Hera
헤스티아	Hestia
헤츨링	Hezling
카벙클하이어	HighCabuncle
카벙클하이어@	HighCabuncle@
카벙클하이어_	HighCabuncle_
카벙클하이어__	HighCabuncle__
카벙클하이어___	HighCabuncle___
히포그리프	HippoGriph
호라이즌크로퍼	HorizonCropper
용병험프리	Humphrey
헌터	Hunter
헌터트롤	HunterTroll
헌터트롤_	HunterTroll_
헌터트롤__	HunterTroll__
헌터트롤___	HunterTroll___
헌터트롤____	HunterTroll____
히드라	Hydra
히드라@	Hydra@
설원곰	IcelandBear
설원늑대	IcelandWolf
이구아나	Iguana
임프_	Imp_
이니언트롤	InionTroll
이니언트롤치프	InionTrollChief
용병일레나	Irena
일레나	Irena_
아이언타론	IronTaron
아이언타론_	IronTaron_
제피	Jeffi
조합원주디스	Judith
카이젠나이트	KaizenKnight
칼린츠_캣맨	Kalintz_Man
칼린츠_캣우먼	Kalintz_Womon
조합원카라	Kara
카라	Kara_
케이	Kei
케미	Kemi
카이저_울프	Kheser_Wolf
킹덤브로커	KingdomBrocker
글렌투와트왕	KingGlantuar
하르바라드왕	KingHarabard
근위대	King'sGuard
근위대_	King'sGuard_
기사단장	KnightLeader
용병단장	KnightsLeader
라이니	Lainy
상인라이니_	Lainy_
리키쟈쿰	LeakyZakum
레오	Leo
리치크런트	LichCrunt
리치바타마	LichVatama
봉인술사_린디	Lindy
도마뱀	Lizard
상인루비엔	Luvian
메이지싸이클롭	MageCyclops
메지션	Magician
메지션_	Magician_
상인메이	Mai
맨트랩	Mantc
맨트랩_	Mantc_
물약상인마틴	Martin
마틴	Martin_
상인카벙클	MercCabuncle
상인쟈쿰	MercZakum
마이티스파이더	MightySpider
마이티탈로스	MightyTalos
마이티탈로스_	MightyTalos_
미노타우르스	Minotaur
미노타우르스_	Minotaur_
미노타우르스__	Minotaur__
몰록	Moloch
몰록_	Moloch_
몰록__	Moloch__
마운트캡터	MountCaptor
마운트마스터	MountMaster
나인트롤	NainTroll
나인트롤치프	NainTrollChief
나오미	Naomi
용병나오미	Naomi
상인넵투스	Neptus
용병니콜	Nichael
오드프로그	OddFrog
오드프로그_	OddFrog_
오드프로그__	OddFrog__
오크닥터	OrcDoctor
오크닥터_	OrcDoctor_
오크닥터__	OrcDoctor__
오크가드_	OrcGuard_
오크가디언	OrcGuardian
오크가디언_	OrcGuardian_
오크경비_	OrcKeeper_
오크나이트	OrcKnight
오크나이트_	OrcKnight_
오크나이트__	OrcKnight__
오크가디언리더	OrcLeader
오크로드	OrcLord
오크로드트루퍼	OrcLordTrooper
오크메이지	OrcMage
오크샤먼	OrcShaman
오크샤먼_	OrcShaman_
오크샤먼__	OrcShaman__
오크스나이퍼	OrcSniper
오크스나이퍼_	OrcSniper_
오크트루퍼	OrcTrooper
오크트루퍼_	OrcTrooper_
오크워리어	OrcWarrior
오크워리어_	OrcWarrior_
퍼레이드호스	ParadeHorse
퍼레이드호스_	ParadeHorse_
페가수스	Pegasus
페르아몬	PerAmon
페르아몬_	PerAmon_
페르베어	PerBear
페르베어_	PerBear_
페르버서커	PerBerserker
페르버서커_	PerBerserker_
페르엔트	PerEnt
페르엔트_	PerEnt_
페르가고일	PerGagoil
페르가고일_	PerGagoil_
페르고곤	PerGorgon
페르고곤_	PerGorgon_
페르나이트	PerKnight
페르나이트_	PerKnight_
페르스파이더	PerSpider
페르스파이더_	PerSpider_
페르발키리	PerValkyrie
페르발키리_	PerValkyrie_
페르울프	PerWolf
페르울프_	PerWolf_
피닉스	Phenix
피그	Pig
파이크맨	Pikeman
파이크맨_	Pikeman_
포이즌히드라	PoisonHydra
페르칼린츠맨	PreKalintz_M
페르칼린츠맨_	PreKalintz_M_
페르칼린츠우먼	PreKalintz_W
페르칼린츠우먼_	PreKalintz_W_
프리미엄상인넬	prisang_Nell
상인프로나	Prona
프로텍터	Protecter
프로텍터_	Protecter_
프로텍터__	Protecter__
프로텍터___	Protecter___
프로텍터____	Protecter____
퍼블웜	PurpleWorm
레이지울프	RageWolf
방어구상라이니	Rainy
방어구상라페인	Rapein
무기상라페인_	Rapein_
레드드래곤	RedDragon
레두미론	Redmiron
레드오라클	RedOracle
레이머스	Reimers
상인레이머스	reimers
무기상레이너스	reiners
상인로페리온	Ropelion
로페리온	RoPerion
루비엔	Rubyen
루제퍼	Rujeper
루제퍼브로켄	RujeperBroken
루제퍼브로켄_	RujeperBroken_
루제퍼브로켄__	RujeperChief
루제퍼이블	RujeperEvil
루제퍼브로켄킹	RujeperKing
상인루시	Rusi
상인루티	Ruti
용병사비나	Sabina
샌드퍼블웜	SandPurpleWorm
샌드타론	SandTaron
산타카벙클	SantaCabuncle
산타카벙클_	SantaCabuncle_
산타카벙클__	SantaCabuncle__
세비지베어	SavageBear
세비지싸이클롭	SavageCyclops
세비지싸이클롭_	SavageCyclops_
세비지오크	SavageOrc
2관문트레이너	SecondTrainer
스내쳐서펜트	Serpent
제사장	Shaman
오크샤먼트루퍼	ShamanTrooper
제련술사_샤니	Shany
샤이너	Shiner
실버드래곤	SilverDragon
실버히드라	SiverHydra
스켈톤아쳐	SkelArcher
스켈톤아쳐_	SkelArcher_
스켈톤아쳐__	SkelArcher__
스켈레톤	Skeleton
스켈레톤아쳐	SkeletonArcher
스켈레톤나이트	SkeletonKnight
스켈톤나이트@	SkeletonKnight_
스켈레톤메이지	SkeletonMage
스켈레톤워리어	SkeletonWarrior
스켈톤나이트	SkelKnight
스켈톤나이트_	SkelKnight_
스켈톤나이트__	SkelKnight__
스켈톤	Skelton
스켈톤@	Skelton@
스켈톤_	Skelton_
스켈톤__	Skelton__
스켈톤___	Skelton___
스켈톤컨저러	SkeltonConjuer
스켈톤인보커	SkeltonInvoke
스켈톤스피어맨	SkeltonSpear
스켈톤스피어맨_	SkeltonSpear_
스켈톤워리어	SkeltonWarrior
슬레이프니르	Sleipnir
스밀로돈	Smilodon
방어구상스미스	Smith
스미스	Smith_
무기상스미스_	Smith__
용병대원	Soldier
소울스켈톤	SoulSkelton
스피어스켈레톤	SpearSkeleton
스파이더	Spider
스티드	Steed
스티드_	Steed_
스톤고렘	StoneGolem
강화고렘	StrengthGolem
스터닝고릴라	StunningGolila
서큐버스	Succubus
스바딜파리	Svadilfari
스위프트호스	SwiftHorse
스위프트호스_	SwiftHorse_
타이니	Tainy
테임드베어	TamedBear
테임드보어	TamedBoar_
테임드울프	TamedWolf
타란툴라	Tarantula
타론	Taron
타론_	Taron_
타우르스@	Taurs
타우르스킹	TaursKing
타우르스킹@	TaursKing@
타우르스킹_	TaursKing_
타우르스킹__	TaursKing__
세이버오브테라	Tera
상인테론	Theron
3관문트레이너	ThirdTrainer
토르의탑	TowerOfThor
타운와쳐	TownWatcher
타운와쳐_	TownWatcher_
양성소교관	TrainerChief
트램플타이거	TrampleTiger
트렌스나이트	TransKnight
트랜트	Treant
트랜티어	Treantier
트롤	Troll
트롤_	Troll_
트롤__	Troll__
트롤___	Troll___
유이	Uie
유니수스	Uinsus
언데드트롤치프	UndeadChief
언데드헬치프	UndeadHell
언데드헬치프_	UndeadHell_
언데드헬치프__	UndeadHell__
언데드스켈톤	UndeadSkelton
언데드스켈톤_	UndeadSkelton_
언데드스켈톤__	UndeadSkelton__
언데드트롤	UndeadTroll
언데드트롤_	UndeadTroll_
언데드트롤__	UndeadTroll__
언데드트롤___	UndeadTroll___
유니콘	Unicorn
발키리_로젠	Valkyrie_Rosen
발키리_티나	Valkyrie_Tina
베르데스	Verdes
베리얼_수호자	Verid_
베리드	Verid__
VINE	Vine
VINE_	Vine_
VINE__	Vine__
비라고	Virago
비라고_	Virago_
워보어	WarBoar
워보어_	WarBoar_
워타우르스	WarTaurs
워타우르스_	WarTaurs_
워타우르스__	WarTaurs__
워터고렘	WaterGolem
워터고렘_	WaterGolem_
워터고렘__	WaterGolem__
벨룬드	Wieland
와일드보어	WildBoar
와일드보어_	WildBoar_
와일드보어__	WildBoar__
와일드싸이클롭	WildCyclops
와일드싸이롭_	WildCyclops_
와일드구울	WildGhoul
와일드구울_	WildGhoul_
와일드구울__	WildGhoul__
와일드구울___	WildGhoul___
와일드오크	WildOrc
와일드타우르	WildTaur
와일드타우르_	WildTaur_
와일드타우르__	WildTaur__
와이즈가고일	WiseGagoil
와이즈가고일_	WiseGagoil_
와이즈가고일킹	WiseGagoilKing
위자드	Wizard																														
위자드_	Wizard_																														
울프	Wolf																														
울프_	Wolf_																														
리글스웜	WriggleSwarm																														
리글스웜@	WriggleSwarm@																														
제노크로퍼	XenoCropper																														
쟈쿰	Zakum																														
쟈쿰아쳐	ZakumArcher																														
쟈쿰아쳐_	ZakumArcher_																														
쟈쿰가드대장	ZakumChief																														
쟈쿰가드대장_	ZakumChief_																														
쟈쿰가드	ZakumGuard																														
임프	ZakumImp																														
쟈쿰로드	ZakumLord																														
쟈쿰피킷	ZakumPicket																														
쟈쿰피킷_	ZakumPicket_																														
쟈쿰워록	ZakumWarlok																														
쟈쿰워록_	ZakumWarlok_																														
좀비베어	ZombieBear																														
좀비베어_	ZombieBear_																														
좀비베어__	ZombieBear__																														
좀비트롤	ZombieTroll																														
좀비트롤__	ZombieTroll__																														
리치크런트킹	LichCruntKing																														
파이터엘프	Fighter_Elf																														
아처엘프	Archer_Elf																														
헬루제퍼	Hell_Rujeper																														
헬루제퍼_	Hell_Rujeper_																														
토르탑	ThorTower																														
카벙클킹	CabuncleKing																														
헬자쿰	HellZakum																														
헬자쿰_	HellZakum_
황금카벙클	GoldCabuncle
발키리어	Valkyrier
헬아몬대장	HellAmonChief
다크섀도우	DarkShadow
헬템플러	HellTemplar
헬소서러	HellSorcerer
헬샤먼	HellShaman
헬레인저	HellRanger
발록	Barlog
헬리치_	HellLich_
헬베토레로	HellBatorero
메이지칼린츠	MageKalintz
칼린츠메이지	KalintzMage
칼린츠파이트	KalintzFight
설랑	Sulrang
발도르	Valdor	
브라기	Bragi	
비다르	Vidar	
헤임달	Heimdall	
욱스말	Uxmal	
프레이야	Freyja	
카르타고	Carthago	
물약상인크레타	Creta	
생존자_더비	Survivor_Derby	
데쓰나이트___	DeathKnight___	
어둠의_소서러	Darksorcerer	
어둠의_템플러	DarkTemplar	
어둠의_샤먼	DarkShaman	
어둠의_레인저	DarkRanger	
어둠의_베리드	DarkVerid	
마운트마스터_	MountMaster_	
제련술사_오딘	AlchemyOdin	
루키워리어	RookieWarrior	
워리어가드	WarriorGuard	
환원술사_에르	Conjurer_Ehre	
환원술사_라셀	Conjurer_Rassel	
시민관_키비타	Delegate_Kibita	
신녀_프로나	Believer_Prona	
그리폰_마스터	Griphon_Master	
마일리지상인	MileageTrader	
유_니_콘	U_Ni_Corn	
그렘린킹@	GremlinKing@	
울프@	Wolf@	
크릴대장@	ChiefCrill@	
도마뱀@	Lizard@	
아쳐오크@	ArcherOrc@	
이구아나@	Iguana@	
오크나이트@	OrcKnight@
드래곤파피@	DragonPappy@
하프오크@	HalfOrc@
트롤@	Troll@
구울@	Ghoul@
헌터트롤@	HunterTroll@
카벙클@	Cabuncle@
프리크트롤@	FreakTroll@
미노타우르스@	Minotaur@
폴른트롤@	FallenTroll@
구울치프@	GhoulChief@
스켈톤____	Skelton____
카벙클_하이어_	High_Cabuncle_
좀비베어@	ZombieBear@
싸이클롭@	Cyclops@
스켈톤아쳐@	SkelArcher@
오크샤먼@	OrcShaman@
오크트루퍼@	OrcTrooper@
좀비트롤@	ZombieTroll@
우르남무	UrNammu
엔드리스타워	Endless_Tower
스켈레톤_	Skeleton_
스켈레톤나이트_	SkeletonKnight_
스켈레톤메이지_	SkeletonMage_
아그모싸이콥@	AgmoCyclops@
아그모아르고스@	AgmoArgos@
아그모엘프@	AgmoElf@
다크엘프아쳐__	DarkElfArcher__
카벙클오더@	CabuncleOrder@
프리크트롤@@	FreakTroll@@
헌터트롤@@	HunterTroll@@
미노타우르스___	Minotaur___
스켈톤@@	Skelton@@
카벙클하이어@@	HighCabuncle@@
아르고스@	Argos@
크루엘쟈쿰__	CruelZakum__
다크엘프아쳐_	DarkElfArcher_
타우르스킹___	TaursKing___
리글스웜_	Wriggle_Swarm_
하르바라드_왕	King_Harabard
아케로캐논	Akelo_Cannon
아케로양성소	Akelo_Barrack
아케로사령관	Akelo_Commander
아케로엔트	Akelo_Treant
아케로수호자	Akelo_Protecter
글렌투와트_왕	King_Glantuar
헤칼로캐논	Hekalo_Cannon
헤칼로양성소	Hekalo_Barrack
헤칼로사령관	HekaloCommander
헤칼로엔트	Hekalo_Treant
헤칼로수호자	HekaloProtecter
타오르는레인져	Red_Ranger
타오르는샤먼	Red_Shaman
타오르는소서러	Red_sorcerer
타오르는템플러	Red_Templar
아케로명성상인	AkeloTrader
아케로수호탑	Akelo_Tower
헤칼로수호탑	Hekalo_Tower
얼어붙은레인져	Blue_Ranger
얼어붙은샤먼	Blue_Shaman
얼어붙은소서러	Blue_sorcerer
얼어붙은템플러	Blue_Templar
헤칼로명성상인	HekaloTrader
메지션__	Magician__
비라고__	Virago__
아버레스트__	Aberes__
위자드__	Wizard__
파이크맨__	Pikeman__
필드컴배턴트__	FieldCombat
특수물자상인	Special_Trader
특수물자상인2	Special_Trader2
악독한케르단장	Khr_Commander
케르단척살단장	Khr_Killer
케르단행동대장	Khr_Attacker
루제퍼브로켄___	RujeperBroken__
얼음여왕베리얼  IceQueenBeriel
얼음여왕_분신   IceQueen_Shadow
