Index,Global_Name,Name,N11,V11
122,Midas_Pants,Midas_Pants,,
123,Midas_Gloves,Midas_Gloves,,
124,Midas_Boots,Midas_Boots,,
125,Guard_leader_Helmet,Guard_leader_Helmet,,
126,Guard_leader_Breastplate,Guard_leader_Breastplate,,
127,Guard_leader_Pants,Guard_leader_Pants,,
128,Guard_leader_Gloves,Guard_leader_Gloves,,
129,Guard_leader_Boots,Guard_leader_Boots,,
130,Guard_leader_Helmet,Guard_leader_Helmet,,
131,Guard_leader_Breastplate,Guard_leader_Breastplate,,
132,Arch_Helmet,Arch_Helmet,,
133,Arch_Breastplate,Arch_Breastplate,,
134,Arch_Pants,Arch_Pants,,
135,Arch_Gloves,Arch_Gloves,,
136,Arch_Boots,Arch_Boots,,
137,Arnold_Helmet,Arnold_Helmet,,
138,Arnold_Pants,Arnold_Pants,,
139,Ruby_Helmet,Ruby_Helmet,,
140,Ruby_Breastplate,Ruby_Breastplate,,
141,Ruby_Pants,Ruby_Pants,,
142,Ruby_Gloves,Ruby_Gloves,,
143,Ruby_Boots,Ruby_Boots,,
144,Watcher_Helmet,Watcher_Helmet,,
145,Watcher_Breastplate,Watcher_Breastplate,,
146,Watcher_Pants,Watcher_Pants,,
147,Watcher_Gloves,Watcher_Gloves,,
148,Watcher_Boots,Watcher_Boots,,
149,Tera_Helmet,Tera_Helmet,,
150,Tera_Breastplate,Tera_Breastplate,,
151,Tera_Pants,Tera_Pants,,
152,Tera_Gloves,Tera_Gloves,,
153,Tera_Boots,Tera_Boots,,
154,Blue_king_Helmet,Blue_king_Helmet,,
155,Blue_king_Breastplate,Blue_king_Breastplate,,
156,Blue_king_Pants,Blue_king_Pants,,
157,Blue_king_Gloves,Blue_king_Gloves,,
158,Blue_king_Boots,Blue_king_Boots,,
159,Orange_King_Helmet,Orange_King_Helmet,,
160,Orange_King_Breastplate,Orange_King_Breastplate,,
161,Orange_King_Pants,Orange_King_Pants,,
162,Orange_King_Gloves,Orange_King_Gloves,,
163,Orange_King_Boots,Orange_King_Boots,,
164,Blue_Guard_Helmet,Blue_Guard_Helmet,,
165,Blue_Guard_Breastplate,Blue_Guard_Breastplate,,
166,Blue_Guard_Pants,Blue_Guard_Pants,,
167,Blue_Guard_Gloves,Blue_Guard_Gloves,,
168,Blue_GuardBoots,Blue_GuardBoots,,
169,Orange_Guard_Helmet,Orange_Guard_Helmet,,
170,Orange_Guard_Breastplate,Orange_Guard_Breastplate,,
171,Orange_Guard_Pants,Orange_Guard_Pants,,
172,Orange_Guard_Gloves,Orange_Guard_Gloves,,
173,Orange_Guard_Boots,Orange_Guard_Boots,,
174,Black_Knight,Black_Knight,,
175,Legend_Black_Knight,Legend_Black_Knight,,
176,Shiner's_Body,Shiner's_Body,,
177,Korean_Clothes_Body,Korean_Clothes_Body,,
178,Cannon,Cannon,,
,,,,
//*몬스터*  인덱스 181~400까지 몬스터 ,,,,
181,Berserker_Face,Berserker_Face,,
182,Berserker_Helmet,Berserker_Helmet,,
183,Berserker_Armor,Berserker_Armor,,
184,Berserker_Leggings,Berserker_Leggings,,
185,Berserker_Gauntlet,Berserker_Gauntlet,,
186,Berserker_Boots,Berserker_Boots,,
200,Dragon,Dragon,,
201,Emerald_Dragon,Emerald_Dragon,,
202,Gremlin,Gremlin,,
203,Crill,Crill,,
204,Crill_Chief,Crill_Chief,,
205,Whale,Whale,,
206,Eagle,Eagle,,
207,Orc_Knight,Orc_Knight,,
208,Orc_Knight,Orc_Knight,,
209,Orc_Archer,Orc_Archer,,
210,B_Orc_Knight,B_Orc_Knight,,
211,B_Orc_Archer,B_Orc_Archer,,
212,Axe_Troll,Axe_Troll,,
213,Hammar_Troll,Hammar_Troll,,
214,B_Axe_Troll,B_Axe_Troll,,
215,B_Hammar_Troll,B_Hammar_Troll,,
216,Wild_Boar,Wild_Boar,,
217,Angel,Angel,,
218,Hydra,Hydra,,
219,Tower_of_Tore,Tower_of_Tore,,
220,Moonhealth,Moonhealth,,
221,Boa,Boa,,
222,Gremlin_King,Gremlin_King,,
223,Pigeon,Pigeon,,
224,Gold_Dragon,Gold_Dragon,,
225,War_Boar,War_Boar,,
226,Wolf,Wolf,,
227,Bear,Bear,,
228,Ghoul,Ghoul,,
229,Ghoul_Chief,Ghoul_Chief,,
230,Carbunkle,Carbunkle,,
231,Carbunkle_Hire,Carbunkle_Hire,,
232,Orc_Shaman,Orc_Shaman,,
233,Cyclops,Cyclops,,
234,Bloody_Cyclops,Bloody_Cyclops,,
235,Minotaurs,Minotaurs,,
236,Dread_Taurus,Dread_Taurus,,
237,Taurs_King,Taurs_King,,
238,Argos,Argos,,
239,Devil,Devil,,
240,Lizard1,Lizard1,,
241,Lizard2,Lizard2,,
242,Archer_Cyclops,Archer_Cyclops,,
243,Mage_Cyclops,Mage_Cyclops,,
244,Trample_Tiger,Trample_Tiger,,
245,Sturning_Gorilla,Gorilla,,
246,Astaroth,Astaroth,,
247,Froggy_Head,Froggy_Head,,
248,Froggy_Head,Froggy_Head,,
249,Froggy_Head,Froggy_Head,,
250,Froggy_Head,Froggy_Head,,
251,Froggy_Boots,Froggy_Boots,,
252,Odd_Froggy_Head,Odd_Froggy_Head,,
253,Odd_Froggy_Head,Odd_Froggy_Head,,
254,Odd_Froggy_Head,Odd_Froggy_Head,,
255,Odd_Froggy_Head,Odd_Froggy_Head,,
256,Odd_Froggy_Head,Odd_Froggy_Head,,
257,Zakum_Archer,Zakum_Archer,,
258,Zakum_Archer,Zakum_Archer,,
259,Zakum_Guard,Zakum_Guard,,
260,Skeleton_Face,Skeleton_Face,,
261,Skeleton_Head,Skeleton_Head,,
262,Skeleton_Trunk,Skeleton_Trunk,,
263,Skeleton_Pants,Skeleton_Pants,,
264,Skeleton_Pants,Skeleton_Pants,,
265,Skeleton_Boots,Skeleton_Boots,,
266,Skeleton_Chief_Helmet,Skeleton_Chief_Helmet,,
267,Skeleton_Chief_Trunk,Skeleton_Chief_Trunk,,
268,Skeleton_Chief_Pants,Skeleton_Chief_Pants,,
269,Skeleton_Chief_Gloves,Skeleton_Chief_Gloves,,
270,Skeleton_Chief_Boots,Skeleton_Chief_Boots,,
271,Skeleton_Bonze_Face,Skeleton_Bonze_Face,,
272,Skeleton_Bonze_Helmet,Skeleton_Bonze_Helmet,,
273,Skeleton_Bonze_Trunk,Skeleton_Bonze_Trunk,,
274,Skeleton_Bonze_Pants,Skeleton_Bonze_Pants,,
275,Skeleton_Bonze_Gloves,Skeleton_Bonze_Gloves,,
276,Skeleton_Bonze_Boots,Skeleton_Bonze_Boots,,
277,Skeleton_Archer_Face,Skeleton_Archer_Face,,
278,Skeleton_Archer_Helmet,Skeleton_Archer_Helmet,,
279,Skeleton_Archer_Trunk,Skeleton_Archer_Trunk,,
280,Skeleton_Archer_Pants,Skeleton_Archer_Pants,,
281,Skeleton_Archer_Gloves,Skeleton_Archer_Gloves,,
282,Skeleton_Archer_Boots,Skeleton_Archer_Boots,,
283,Dark_Knight,Dark_Knight,,
284,Dark_Elf,Dark_Elf,,
285,Dark_Elf_Archer_Trunk,Dark_Elf_Archer_Trunk,,
286,Dark_Elf_Bonze_Trunk,Dark_Elf_Bonze_Trunk,,
287,Legend_Dark_Elf,Legend_Dark_Elf,,
288,Legend_Elf_Archer_Trunk,Legend_Elf_Archer_Trunk,,
289,Legend_Elf_Bonze_Trunk,Legend_Elf_Bonze_Trunk,,
290,Legend_Black_Cape,Legend_Black_Cape,,
291,Dungeon_Bear,Dungeon_Bear,,
292,Bat,Bat,,
293,Bone_Dragon,Bone_Dragon,,
294,Devil,Devil,,
295,Devil_Boss,Devil_Boss,,
296,Zombie_Troll,Zombie_Troll,,
297,Golem,Golem,,
298,Golem_Chief,Golem_Chief,,
299,Wolf,Wolf,,
300,Dragon_Puppy,Dragon_Puppy,,
301,Goat,Goat,,
302,Titan,Titan,,
303,Blue_King,Blue_King,,
304,Orange_King,Orange_King,,
305,Orange_Guard,Orange_Guard,,
306,Undead_Troll,Undead_Troll,,
307,Black_Dragon,Black_Dragon,,
309,Water_Golem,Water_Golem,,
310,Fire_Gargoyle,Fire_Gargoyle,,
311,Frenzy_Demon_Lord,Frenzy_Demon_Lord,,
312,New_Troll1,New_Troll1,,
313,New_Troll1,New_Troll1,,
314,New_Troll1,New_Troll1,,
//마운트 성마 인덱스,,,,
315,Pig,Pig,,
316,Tamed_Boar,Tamed_Boar,,
317,Tamed_Wolf,Tamed_Wolf,,
318,Dragon_Puppy,Dragon_Puppy,,
319,Tamed_Bear,Tamed_Bear,,
320,Smilodon,Smilodon,,
321,Bareback_Horse,Bareback_Horse,,
322,Steed,Steed,,
323,Swift_Horse,Swift_Horse,,
324,Harnessed_Horse,Harnessed_Horse,,
325,Parade_Horse,Parade_Horse,,
326,Bareback_Horse,Bareback_Horse,,
327,Steed,Steed,,
328,Swift_Horse,Swift_Horse,,
329,Harnessed_Horse,Harnessed_Horse,,
330,Parade_Horse,Parade_Horse,,
331,Fenrir,Fenrir,,
332,Dragon,Dragon,,
333,Fauness,Fauness,,
334,Fire_Tiger,Fire_Tiger,,
335,Red_Dragon,Red_Dragon,,
336,Unicorn,Unicorn,,
337,Pegasus,Pegasus,,
338,Unisus,Unisus,,
339,Griffin,Griffin,,
340,Hippogriff,Hippogriff,,
341,Bloody_Criffe,Bloody_Criffe,,
342,Shire_Horse,Shire_Horse,,
343,Thoroughbred_Horse,Thoroughbred_Horse,,
344,Clydesdale_Horse,Clydesdale_Horse,,
345,Gullfaxi_Horse,Gullfaxi_Horse,,
346,Helriohdon,Helriohdon,,
347,BerialSuhoja_Face,BerialSuhoja_Face,,
348,tteok,tteok,,
//*몬스터*  인덱스 351~400까지 몬스터 ,,,,
351,Trant,Trant,,
352,Hell_Spider,Hell_Spider,,
353,Tarantula,Tarantula,,
354,Man_Trap,Man_Trap,,
355,Purple_Worm,Purple_Worm,,
356,Santa_Carbunkle,Santa_Carbunkle,,
357,Guard_Tower,Guard_Tower,,
358,Vine,Vine,,
359,Bush,Bush,,
360,Mighty_Talos,Mighty_Talos,,
361,Batorero,Batorero,,
362,Kephra,Kephra,,
363,Kephra_Guard,Kephra_Guard,,
364,Hell_Lich,Hell_Lich,,
365,Arc_Lich,Arc_Lich,,
366,Puner_Simer,Puner_Simer,,
367,Puner_Cycler,Puner_Cycler,,
368,Ape,Ape,,
369,Amon_Soldier,Amon_Soldier,,
370,Amon_Warrior,Amon_Warrior,,
371,Amon_Chief,Amon_Chief,,
372,Snowfield_chief,Snowfield_chief,,
373,Snowfield_Wolf,Snowfield_Wolf,,
374,Ancient_Ant,Ancient_Ant,,
375,Ancient_Ape,Ancient_Ape,,
376,Kalints_Cat_Man_Face,Kalints_Cat_Man_Face,,
377,Kalints_Cat_Man_Helmet,Kalints_Cat_Man_Helmet,,
378,Kalints_Cat_Man_Body,Kalints_Cat_Man_Body,,
379,Kalints_Cat_Man_Leggings,Kalints_Cat_Man_Leggings,,
380,Kalints_Cat_Man_Gauntlets,Kalints_Cat_Man_Gauntlets,,
381,Kalints_Cat_Man_Boots,Kalints_Cat_Man_Boots,,
382,Kalints_Cat_Women's_Face,Kalints_Cat_Women's_Face,,
383,Kalints_Cat_Women's_Helmet,Kalints_Cat_Women's_Helmet,,
384,Kalints_Cat_Women's_Body,Kalints_Cat_Women's_Body,,
385,Kalints_Cat_Women's_Lenggings,Kalints_Cat_Women's_Lenggings,,
386,Kalints_Cat_Women's_Gauntlet,Kalints_Cat_Women's_Gauntlet,,
387,Kalints_Cat_Women's_Boots,Kalints_Cat_Women's_Boots,,
388,Frozen_Troll,Frozen_Troll,,
389,Kaizer_Wolf,Kaizer_Wolf,,
390,Cursed_Templer,Cursed_Templer,,
391,Cursed_Sorcerer,Cursed_Sorcerer,,
392,Cursed_Shaman,Cursed_Shaman,,
393,Cursed_Ranger,Cursed_Ranger,,
394,Valkiry,Valkiry,,
395,Dark_Queen_Beriel,Dark_Queen_Beriel,,
396,Succubus,Succubus,,
397,Balrog,Balrog,,
398,Barrack,Barrack,,
,,,,
// 아이템 (장착용아이템 소비성아이템 액세서리) 인덱스401~800,,,,
// 소비성 아이템(포션 스크롤 허브등등) 인덱스 401-450,,,,
400,Healing_Potion(S),Healing_Potion(S),,
401,Healing_Potion(M),Healing_Potion(M),,
402,Healing_Potion(ML),Healing_Potion(ML),,
403,Healing_Potion(L),Healing_Potion(L),,
404,Healing_Potion(XL),Healing_Potion(XL),,
405,Mana_Potion(S),Mana_Potion(S),,
406,Mana_Potion(M),Mana_Potion(M),,
407,Mana_Potion(ML),Mana_Potion(ML),,
408,Mana_Potion(L),Mana_Potion(L),,
409,Mana_Potion(XL),Mana_Potion(XL),,
410,Recall_Scroll,Recall_Scroll,,
411,Recall_Scroll(10),Recall_Scroll(10),,
412,Oriharukon_Powder,Oriharukon_Powder,,
413,Laktorerium_Powder,Laktorerium_Powder,,
414,Fairy_Dust,Fairy_Dust,,
415,Recovery_Herb,Recovery_Herb,,
416,Kappa,Kappa,,
417,Adelas,Adelas,,
418,sharin_Of_Kein,sharin_Of_Kein,,
419,Oriharukon_Scrap,Oriharukon_Scrap,,
420,Laktorerium_Scrap,Laktorerium_Scrap,,
421,Crystal_1,Crystal_1,,
422,Crystal_2,Crystal_2,,
423,Crystal_3,Crystal_3,,
424,Crystal_4,Crystal_4,,
425,Crystal_5,Crystal_5,,
426,Crystal_6,Crystal_6,,
427,Crystal_7,Crystal_7,,
428,Healing_Potion5_Boxes(M),Healing_Potion5_Boxes(M),,
429,Healing_Potion10_Boxes(M),Healing_Potion10_Boxes(M),,
430,Healing_Potion5_Boxes(L),Healing_Potion5_Boxes(L),,
431,Healing_Potion5_Boxes(L),Healing_Potion5_Boxes(L),,
432,Mana_Potion5_Boxes(M),Mana_Potion5_Boxes(M),,
433,Mana_Potion10_Boxes(M),Mana_Potion10_Boxes(M),,
434,Mana_Potion5_Boxes(L),Mana_Potion5_Boxes(L),,
435,Mana_Potion5_Boxes(L),Mana_Potion5_Boxes(L),,
436,Hired_Soldier_Contract(Knight),Hired_Soldier_Contract(Knight),,
437,Hired_Soldier_Contract(Archer),Hired_Soldier_Contract(Archer),,
438,Hired_Soldier_Contract(Mage),Hired_Soldier_Contract(Mage),,
439,Hired_Soldier_Contract(Knight),Hired_Soldier_Contract(Knight),,
440,Hired_Soldier_Contract(Archer),Hired_Soldier_Contract(Archer),,
441,Hired_Soldier_Contract(Mage),Hired_Soldier_Contract(Mage),,
446,Guild_Board_Scroll,Guild_Board_Scroll,,
447,Divine_Circle_Piece,Divine_Circle_Piece,,
448,Pure_Divine_Circle,Pure_Divine_Circle,,
449,Pure_Divine_Circle,Pure_Divine_Circle,,
450,Pure_Divine_Circle,Pure_Divine_Circle,,
,,,,
,,,,
// 이벤트용 아이템(이벤트를 수행하기 위해 필요한 아이템) 인덱스451-500,,,,
451,First_Gate_Key,First_Gate_Key,,
452,Second_Gate_Key,Second_Gate_Key,,
453,Final_Gate_Key,Final_Gate_Key,,
454,Gold_Coin_1,Gold_Coin_1,,
455,Gold_Coin_1,Gold_Coin_1,,
456,Gold_Coin_1,Gold_Coin_1,,
457,South_Gate,South_Gate,,
458,First_Gate_Key,First_Gate_Key,,
459,Second_Gate_Key,Second_Gate_Key,,
461,Final_Gate_Key,Final_Gate_Key,,
462,Orc_Castle_South_Gate,Orc_Castle_South_Gate,,
463,Orc_Castle_East_Gate,Orc_Castle_East_Gate,,
464,Orc_Castle_Final_S_Gate,Orc_Castle_Final_S_Gate,,
465,Orc_Castle_South_Gate_Key,Orc_Castle_South_Gate_Key,,
466,Orc_Castle_East_Gate_Key,Orc_Castle_East_Gate_Key,,
467,Orc_Castle_Final_S.G_Key,Orc_Castle_Final_S.G_Key,,
468,Orc_Castle_Final_E_Gate,Orc_Castle_Final_E_Gate,,
469,Orc_Castle_Final_E.G_Key,Orc_Castle_Final_E.G_Key,,
470,Magical_Pill,Magical_Pill,,
471,Guild_Battle_Gate,Guild_Battle_Gate,,
472,Steel_Window,Steel_Window,,
473,Christmas_Gift_Box,Christmas_Gift_Box,,
474,Test_Gift_Box,Immortal_Box,,
475,Treasure_Box,Premium_Box,,
476,Santa_Treasure_Box,Santa_Treasure_Box,,
477,Mission_1_Treasure_Box,Core_Box,,
478,Mission_2_Treasure_Box,Argonite_Box,,
479,Mission_3_Treasure_Box,Aegis_Box,,
480,Treasure_Box,Victory_Box,,
481,Eye_Wax,Eye_Wax,,
482,Treasure_Box,Treasure_Box,,
483,Treasure_Box,Box_1,,
484,Treasure_Box,Box_2,,
485,Treasure_Box,Box_3,,
486,Rareness_Treasure_Box,Stellar_Box,,
487,Treasure_Box,Box_4,,
488,Treasure_Box,Box_5,,
489,Treasure_Box,Box_6,,
//490 - 495 아이템 습득시 공지 후 소멸 아이템,,,,
490,Battle_Royal_Badge(N),Battle_Royal_Badge(N),,
491,Battle_Royal_Badge(M),Battle_Royal_Badge(M),,
492,Battle_Royal_Badge(H),Battle_Royal_Badge(H),,
//컨디션회복아이템 인덱스 496~500,,,,
496,Bread_5,Bread_5,,
497,Sausage_5,Sausage_5,,
498,Meat_5,Meat_5,,
499,Condition_Recovery_Item,Condition_Recovery_Item,,
500,Condition_Recovery_Item,Condition_Recovery_Item,,
,,,,
//1번 슬롯 장착 아이템 인덱스 501-550,,,,
501,Power_Ring,Power_Ring,,
502,Mana's_Ring,Mana's_Ring,,
503,Physical_Strength_Ring,Physical_Strength_Ring,,
504,Life's_Ring,Life's_Ring,,
505,Dexterity_Ring,Dexterity_Ring,,
506,Magical_Ring,Magical_Ring,,
507,Power_Bracelet,Power_Bracelet,,
508,Medal_Of_Guild,Medal_Of_Guild,,
509,Medal_Of_Guild_Master,Medal_Of_Guild_Master,,
510,Mana's_Bracelet,Mana's_Bracelet,,
511,Physical_Strength_Bracelet,Physical_Strength_Bracelet,,
512,Life's_Bracelet,Life's_Bracelet,,
513,Dexterity_Bracelet,Dexterity_Bracelet,,
514,Magical_Bracelet,Magical_Bracelet,,
515,Bracelet,Bracelet,,
516,Mana's_Pendent,Mana's_Pendent,,
517,Physical_Strength_Pendent,Physical_Strength_Pendent,,
518,Life's_Pendent,Life's_Pendent,,
519,Dexterity_Pendent,Dexterity_Pendent,,
520,Magical_Pendent,Magical_Pendent,,
521,Power_Pendent,Power_Pendent,,
522,Medal_Of_Kingdom,Medal_Of_Kingdom,,
523,White_Lover_Ring,White_Lover_Ring,,
524,Orc_Emblem,Orc_Emblem,,
525,Eye_Wax,Eye_Wax,,
526,Medal_Of_Guild_Chief1,Medal_Of_Guild_Chief1,,
527,Medal_Of_Guild_Chief2,Medal_Of_Guild_Chief2,,
528,Medal_Of_Guild_Chief3,Medal_Of_Guild_Chief3,,
529,Medal_Of_Guild_Chief1,Medal_Of_Guild_Chief1,,
530,Medal_Of_Guild_Chief2,Medal_Of_Guild_Chief2,,
531,Medal_Of_Guild_Chief3,Medal_Of_Guild_Chief3,,
532,Medal_Of_Guild1,Medal_Of_Guild1,,
533,Medal_Of_Guild2,Medal_Of_Guild2,,
534,Medal_Of_Guild3,Medal_Of_Guild3,,
535,Medal_Of_Kingdom1,Medal_Of_Kingdom1,,
536,Medal_Of_Kingdom2,Medal_Of_Kingdom2,,
537,Medal_Of_Kingdom3,Medal_Of_Kingdom3,,
538,Medal_Of_Citizen,Medal_Of_Citizen,,
,,,,
,,,,
,,,,
,,,,
// 1번 ~4번 공용장착 아이템 왕국관련 아이템(540 - 550),,,,
540,Spirit_Stone,Spirit_Stone,,
541,Spirit_Stone,Spirit_Stone,,
542,Moon_Stone,Moon_Stone,,
543,Cape_Of_CruSader,Cape_Of_CruSader,,
544,Cape_Of_Shiner,Cape_Of_Shiner,,
545,Hekalotia_Cape,Hekalotia_Cape,,
546,Akeronia_Cape,Akeronia_Cape,,
547,Kill_Mark,Kill_Mark,,
548,Cape_Of_Wanderer,Cape_Of_Wanderer,,
549,Cape_Of_Adventurer,Cape_Of_Adventurer,,
550,Monster_White_Cape,Monster_White_Cape,,
//2번 슬롯 장착 아이템 인덱스 551-600,,,,
551,Silver_Amulet,Silver_Amulet,,
552,Silver_Amulet,Silver_Amulet,,
553,Silver_Amulet,Silver_Amulet,,
554,Silver_Amulet,Silver_Amulet,,
555,Gold_Amulet,Gold_Amulet,,
556,Gold_Amulet,Gold_Amulet,,
557,Gold_Amulet,Gold_Amulet,,
558,Gold_Amulet,Gold_Amulet,,
559,Mystic_Amulet,Mystic_Amulet,,
560,Mystic_Amulet,Mystic_Amulet,,
561,Mystic_Amulet,Mystic_Amulet,,
562,Crystal_Amulet,Crystal_Amulet,,
563,Crystal_Amulet,Crystal_Amulet,,
564,Crystal_Amulet,Crystal_Amulet,,
565,Crystal_Amulet,Crystal_Amulet,,
566,Crystal_Amulet,Crystal_Amulet,,
567,Arcane_Amulet,Arcane_Amulet,,
568,Arcane_Amulet,Arcane_Amulet,,
569,Arcane_Amulet,Arcane_Amulet,,
570,Arcane_Amulet,Arcane_Amulet,,
,,,,
//챔피언망토변경아이템,,,,
572,Campion's_Cape,Campion's_Cape,,
573,Campion's_Cape,Campion's_Cape,,
574,Campion's_Cape,Campion's_Cape,,
//레전더리 제련용 아이템(575-590),,,,
575,Spinell_Ore,Spinell_Ore,,
576,Beryl_Ore,Beryl_Ore,,
577,Tektite_Ore,Tektite_Ore,,
578,Adamantite_Ore,Adamantite_Ore,,
579,Final_Defensive_Weapon_Legend_Ore,Final_Defensive_Weapon_Legend_Ore,,
,,,,
//1번슬롯악세사리추가(591~600),,,,
591,Mana's_earing,Mana's_earing,,
592,Physical_Strength_earing,Physical_Strength_earing,,
593,Dexterity_earing,Dexterity_earing,,
594,Magical_earing,Magical_earing,,
595,Power_earing,Power_earing,,
,,,,
,,,,
,,,,
//중국드래곤볼트패스티벌이벤트아이템,,,,
599,Fragrant_Pouch,Fragrant_Pouch,,
600,Dumplings,Dumplings,,
//3번 슬롯 장착 아이템 (인덱스601-650) ,,,,
601,Fire_Orb,Fire_Orb,,
602,Ice_Orb,Ice_Orb,,
603,Thunder_Orb,Thunder_Orb,,
604,Holy_Orb,Holy_Orb,,
605,Magical_Pill,Magical_Pill,,
606,Magical_Pill,Magical_Pill,,
607,Magical_Pill,Magical_Pill,,
608,Eye_Of_Arger,Eye_Of_Arger,,
609,Eye_Of_Exier,Eye_Of_Exier,,
610,Eye_of_Lamu,Eye_of_Lamu,,
611,Holy_Eye,Holy_Eye,,
612,Fire_Protecter,Fire_Protecter,,
613,Ice_Protecter,Ice_Protecter,,
614,Thunder_Protecter,Thunder_Protecter,,
615,Holy_Protecter,Holy_Protecter,,
616,Wisdom_Pearl,Wisdom_Pearl,,
617,Jusitce_Pearl,Jusitce_Pearl,,
618,Victory_Pearl,Victory_Pearl,,
619,Glory_Pearl,Glory_Pearl,,
620,Boundless_Pearl,Boundless_Pearl,,
621,Wisdom_Pearl,Wisdom_Pearl,,
622,Wisdom_Pearl,Wisdom_Pearl,,
,,,,
//355LV 스피릿 스톤 추가 아이템(인덱스 631-633),,,,
631,Spirit_Stone,Spirit_Stone,,
632,Spirit_Stone,Spirit_Stone,,
633,Spirit_Stone,Spirit_Stone,,
,,,,
//추가된 악세서리(인덱스 634 ~ 639),,,,
634,not_used,not_used,,
635,not_used,not_used,,
636,not_used,not_used,,
637,not_used,not_used,,
,,,,
// 추가된 목걸이 아이템 (인덱스 640-650),,,,
640,Mana's_Necklace,Mana's_Necklace,,
641,Physical_Strength_Necklace,Physical_Strength_Necklace,,
642,Magical_Necklace,Magical_Necklace,,
643,Power_Necklace,Power_Necklace,,
,,,,
// 정탄 아이템(인덱스 646~648),,,,
646,Secret_Medicine_Of_Courage,Secret_Medicine_Of_Courage,,
647,Wonder_Drug_Of_Courage,Wonder_Drug_Of_Courage,,
,,,,
// 버프 아이템 (인덱스 649 ~ 650),,,,
649,not_used,not_used,,
650,not_used,not_used,,
,,,,
//4번 슬롯 장착 아이템( 인덱스 651-665),,,,
651,Ruby_Of_Carbunkle,Ruby_Of_Carbunkle,,
652,Ruby_Of_Carbunkle,Ruby_Of_Carbunkle,,
653,Ruby_Of_Carbunkle,Ruby_Of_Carbunkle,,
654,Necro_Stone,Necro_Stone,,
655,Necro_Stone,Necro_Stone,,
656,Necro_Stone,Necro_Stone,,
657,Ruby_Of_Friendship,Ruby_Of_Friendship,,
658,Gem_Of_Siren,Gem_Of_Siren,,
659,Gem_Of_Siren,Gem_Of_Siren,,
660,Gem_Of_Siren,Gem_Of_Siren,,
661,Justic_Ankh,Justic_Ankh,,
662,Eternity_Ankh,Eternity_Ankh,,
663,Glory_Ankh,Glory_Ankh,,
,,,,
