MatchCode,Global
ChaosCyclops__,ChaosCyclops__
ChaosMoloch,ChaosMoloch
ChaosOrc,ChaosOrc
ChaosOrc_,ChaosOrc_
ChaosOrc__,ChaosOrc__
ChaosTroll,ChaosTroll
ChaosTroll_,ChaosTroll_
ChaosTroll__,ChaosTroll__
ChaosTroll___,ChaosTroll___
CheifOrc_,CheifOrc_
ChiefCrill,ChiefCrill
ChiefCrill_,ChiefCrill_
CombatCyclops,CombatCyclops
Compounder,Compounder
Condor,Condor
CopperDragon,CopperDragon
Crill,Crill
Crill_,Crill_
CrimsonWidow,CrimsonWidow
CrimsonWidow@,CrimsonWidow@
CruelCyclops,CruelCyclops
CruelCyclops_,CruelCyclops_
CruelZakum,CruelZakum
CruelZakum_,CruelZakum_
Cursed_Ranger,Cursed_Ranger
Cursed_Shaman,Cursed_Shaman
Cursed_Sorcerer,Cursed_Sorcerer
Cursed_Templar,Cursed_Templar
Cursed_Verid,Cursed_Verid
Cyclops,Cyclops
Cyclops_,Cyclops_
Cyclops__,Cyclops__
Cyclops___,Cyclops___
Cyclops____,Cyclops____
Dark,Dark
DarkElf,DarkElf
DarkElf@,DarkElf@
DarkElf_,DarkElf_
DarkElfAbjurer,DarkElfAbjurer
DarkElfAbjurer_,DarkElfAbjurer_
DarkElfArcher,DarkElfArcher
DarkElfKnight,DarkElfKnight
DarkElfKnight_,DarkElfKnight_
DarkElfWitch,DarkElfWitch
DarkElfWitch_,DarkElfWitch_
DarkElfWitch__,DarkElfWitch__
DarkElgMaster,DarkElfMaster
DarkKnight,DarkKnight
DarkKnight_,DarkKnight_
DarkKnight__,DarkKnight__
DarkKnight___,DarkKnight___
DarkKnightKing@,DeathKnightKing
DarkMage,DarkMage
DarkShadow,DarkShadow
DarkStonGolem,DarkStonGolem
DarkStonGolem_,DarkStonGolem_
DarkStonGolem__,DarkStonGolem__
DeathKnight,DeathKnight
DeathKnight@,DeathKnight@
DeathKnight_,DeathKnight_
DeathKnight__,DeathKnight__
DemoGorgon,DemoGorgon
DemonLord,DemonLord
DemonLord_,DemonLord_
DemonLord__,DemonLord__
Dionys,Dionys
Dracorich,Dracorich
Dragon,Dragon
DragonPappy,DragonPuppy
DragonPappy_,DragonPuppy_
DragonPappy__,DragonPuppy__
Dreadtaurs,DreadTaurus
Dreadtaurs_,DreadTaurus_
Eagle,Eagle
Eagle_,Eagle_
EfreetBazilisk,IfritBasilisk
EfreetDracolich,IfritDracolich
ElderCyclops,ElderCyclops
ElderCyclops_,ElderCyclops_
ElderCyclops__,ElderCyclops__
ElderForema,ElderFoema
ElfMagician,ElfMagician
ElfMagician_,ElfMagician_
Elizabeth,Elizabeth_
Elizabeth,Elizabeth
Empis,Empis
Erin,Erin
ExploitLeader,ExploitLeader
FallenTroll,FallenTroll
FallenTroll_,FallenTroll_
FallenTroll__,FallenTroll__
Farche,Farche
Fenrir,Fenrir
FieldCombatant,FieldCombatant
FieldCombatant_,FieldCombatant_
FireGagoil,FireGargoyle
FireGagoil_,FireGargoyle_
FireGagoil__,FireGargoyle__
FireGolem,FireGolem
FireGolem_,FireGolem_
FireGolem__,FireGolem__
FireTiger,FireTiger
FirstTrainer,FirstTrainer
Follower,Follower
Follower_,Follower_
Follower__,Follower__
Follower___,Follower___
Follower____,Follower____
Follower_____,Follower_____
ForceCyclop_,ForceCyclop_
ForceCyclops,ForceCyclops
ForceOrc,ForceOrc
ForeLearner,ForeLearner
Forema,Foema
FreakTroll,FreakTroll
FreakTroll_,FreakTroll_
FreakTroll__,FreakTroll__
FreakTroll___,FreakTroll___
FrenzyDemonLord,FrenzyDemonLord
FrogAssassin_,FrogAssassin_
FroggyAssassin,FrogAssassin
FroggyKnight,FroggyKnight
FroggyMutant,FroggyMutant
FroggyPhantom,FroggyPhantom
FrozenTroll,FrozenTroll
FunerMomenter,FunerMomenter__
FunerScyther,FunerScyther__
FunerSeamer,FunerSeamer
FunerSeamer@,FunerSeamer@
FunerSeamer_,FunerSeamer_
FunerSeamer__,FunerSeamer__
FunerSickler,FunerSickler
FunerSickler_,FunerSickler_
FunerSickler__,FunerSickler__
Gagoil,Gargoyle
Gagoil@,Gargoyle@
Gagoil_,Gargoyle_
GagoilChief,GargoyleChief
Galford,Galford
Gate,Gate
GateKeeper,GateKeeper
Ghoul,Ghoul
Ghoul_,Ghoul_
Ghoul__,Ghoul__
GhoulChief,GhoulChief
GhoulChief_,GhoulChief_
GhoulChief__,GhoulChief__
GhoulChief___,GhoulChief___
GiantCrill,GiantCrill
GiantCrill_,GiantCrill_
GiantSnake,Boa
GiantSnake_,Boa_
GodGovernment,GodGovernment
GoldDragon,Gold_Dragon
GoldenWidower,GoldenWidower
GoldenWidower@,GoldenWidower@
GoldGrimLock,GoldGrimLock
GoldHezling,GoldHatchling
GoldHydra,GoldenHydra
GoldHydra@,GoldenHydra@
GoldHydra_,GoldenHydra_
Gremlin,Gremlin
Gremlin_,Gremlin_
GremlinDecoy,GremlinDecoy
GremlinKing,GremlinKing
GremlinKing_,GremlinKing_
GremlinKing__,GremlinKing__
GrimLock,GrimLock
GrimLock_,GrimLock_
GrimLock__,GrimLock__
GrimLock___,GrimLock___
Griphon,Griffin
GrubSwarm,GrubSwarm
GrubSwarm@,GrubSwarm@
Guard,Guard
Guard_,Guard_
GuardChief,GuardChief
GuardChief_,GuardChief_
GuardGrimLock,GuardGrimLock
GuardGrimLock_,GuardGrimLock_
GuardGrimLock__,GuardGrimLock__
Guardian,Guardian
Guardian_,Guardian_
Guardian__,Guardian__
Guardian___,Guardian___
Guardian____,Guardian____
Guardian_____,Guardian_____
GuardTower,GuardTower
GuardTower_,GuardTower_
HalfOrc,HalfOrc
HalfOrc_,HalfOrc_
HalfOrc__,HalfOrc__
HalfOrc___,HalfOrc___
HarnessedHorse,HarnesedHorse
HarnessedHorse_,HarnesdHorse_
HeavyTaron,HeavyTaron
HellLich,HellLich
HellSpider,HellSpider
HellSpider_,HellSpider_
Hera,Hera
Hestia,Hestia
Hezling,Hatchling
HighCabuncle,HighCarbunkle
HighCabuncle@,HighCarbunkle@
HighCabuncle_,HighCarbunkle_
HighCabuncle__,HighCarbunkle__
HighCabuncle___,HighCarbunkle
HippoGriph,HippoGriph
HorizonCropper,HorizonCropper
Humphrey,Humphrey
Hunter,Hunter
HunterTroll,HunterTroll
HunterTroll_,HunterTroll_
HunterTroll__,HunterTroll__
HunterTroll___,HunterTroll___
HunterTroll____,HunterTroll____
Hydra,Hydra
Hydra@,Hydra@
IcelandBear,SnowfieldBear
IcelandWolf,SnowfieldWolf
Iguana,Iguana
Imp_,Imp_
InionTroll,InionTroll
InionTrollChief,InionTrollChief
Irena,Irena
Irena_,Irena_
IronTaron,IronTaron
IronTaron_,IronTaron_
Jeffi,Jeffi_
Judith,Judith
KaizenKnight,KaizenKnight
Kalintz_Man,Kalintz_Man
Kalintz_Womon,Kalintz_Woman
Kara,Kara
Kara_,Kara_
Kei,Kei
Kemi,Kemi
Kheser_Wolf,Kaiser_Wolf
KingdomBrocker,KingdomBroker
KingGlantuar,KingGlantuar
KingHarabard,KingHarabard
King'sGuard,King'sGuard
King'sGuard_,King'sGuard_
KnightLeader,KnightLeader
KnightsLeader,KnightsLeader
Lainy,Lainy
Lainy_,Lainy_
LeakyZakum,LeakyZakum
Leo,Leo
LichCrunt,LichCrunt
LichVatama,LichVatama
Lindy,Lindy
Lizard,Lizard
Luvian,Luvian
MageCyclops,MageCyclops
Magician,Magician
Magician_,Magician_
Mai,Mai
Mantc,Mantrap
Mantc_,Mantrap
Martin,Martin
Martin_,Martin_
MercCabuncle,Merc_Carbunkle
MercZakum,Merc_Zakum
MightySpider,MightySpider
MightyTalos,MightyTalos
MightyTalos_,MightyTalos_
Minotaur,Minotaur
Minotaur_,Minotaur_
Minotaur__,Minotaur__
Moloch,Moloch
Moloch_,Moloch_
Moloch__,Moloch__
MountCaptor,MountCaptor
MountMaster,MountMaster
NainTroll,NainTroll
NainTrollChief,NainTrollChief
Naomi,Naomi
Naomi,Naomi
Neptus,Neptus
Nichael,Nichael
OddFrog,OddFrog
OddFrog_,OddFrog_
OddFrog__,OddFrog__
OrcDoctor,OrcDoctor
OrcDoctor_,OrcDoctor_
OrcDoctor__,OrcDoctor__
OrcGuard_,OrcGuard_
OrcGuardian,OrcGuardian
OrcGuardian_,OrcGuardian_
OrcKeeper_,OrcKeeper_
OrcKnight,OrcKnight
OrcKnight_,OrcKnight_
OrcKnight__,OrcKnight__
OrcLeader,OrcLeader
OrcLord,OrcLord
OrcLordTrooper,OrcLordTrooper
OrcMage,OrcMage
OrcShaman,OrcShaman
OrcShaman_,OrcShaman_
OrcShaman__,OrcShaman__
OrcSniper,OrcSniper
OrcSniper_,OrcSniper_
OrcTrooper,OrcTrooper
OrcTrooper_,OrcTrooper_
OrcWarrior,OrcWarrior
OrcWarrior_,OrcWarrior_
ParadeHorse,ParadeHorse
ParadeHorse_,ParadeHorse_
Pegasus,Pegasus
PerAmon,PerAmon
PerAmon_,PerAmon_
PerBear,PerBear
PerBear_,PerBear_
PerBerserker,PerBerserker
PerBerserker_,PerBerserker_
PerEnt,PerEnt
PerEnt_,PerEnt_
PerGagoil,PerGargoyle
PerGagoil_,PerGargoyle_
PerGorgon,PerGorgon
PerGorgon_,PerGorgon_
PerKnight,PerKnight
PerKnight_,PerKnight_
PerSpider,PerSpider
PerSpider_,PerSpider_
PerValkyrie,PerValkyrie
PerValkyrie_,PerValkyrie_
PerWolf,PerWolf
PerWolf_,PerWolf_
Phenix,Phoenix
Pig,Pig
Pikeman,Pikeman
Pikeman_,Pikeman_
PoisonHydra,PoisonHydra
PreKalintz_M,PerKalintz_M
PreKalintz_M_,PerKalintz_M_
PreKalintz_W,PerKalintz_W
PreKalintz_W_,PerKalintz_W_
prisang_Nell,Nell
Prona,Prona
Protecter,Protecter
Protecter_,Protecter_
Protecter__,Protecter__
Protecter___,Protecter___
Protecter____,Protecter____
PurpleWorm,PurbleWorm
RageWolf,RageWolf
Rainy,Defense_Rainy
Rapein,Rapein
Rapein_,Rapein_
RedDragon,RedDragon
Redmiron,Redmiron
RedOracle,RedOracle
Reimers,Reimers
reimers,Reimers
reiners,Reiners
Ropelion,Ropelion
RoPerion,RoPerion_
Rubyen,Rubyen
Rujeper,Rujeper
RujeperBroken,RujeperBroken
RujeperBroken_,RujeperBroken_
RujeperChief,RujeperChief__
RujeperEvil,RujeperEvil
RujeperKing,RujeperKing
Rusi,Rucy
Ruti,Ruty
Sabina,Merc_Sabina
SandPurpleWorm,SandPurpleWorm
SandTaron,SandTaron
SantaCabuncle,SantaCarbunkle
SantaCabuncle_,SantaCarbunkle_
SantaCabuncle__,SantaCarbunkle
SavageBear,SavageBear
SavageCyclops,SavageCyclops
SavageCyclops_,SavageCyclops_
SavageOrc,SavageOrc
SecondTrainer,SecondTrainer
Serpent,Serpent
Shaman,Shaman
ShamanTrooper,ShamanTrooper
Shany,Shany
Shiner,Shiner
SilverDragon,SilverDragon
SiverHydra,SiverHydra
SkelArcher,SkelArcher
SkelArcher_,SkelArcher__
SkelArcher__,SkelArcher___
Skeleton,Skeleton
SkeletonArcher,SkeletonArcher
SkeletonKnight,SkeletonKnight
SkeletonKnight_,SkeletonKnight_
SkeletonMage,SkeletonMage
SkeletonWarrior,SkeletonWarrior
SkelKnight,Skel_Knight
SkelKnight_,Skel_Knight_
SkelKnight__,Skel_Knight__
Skelton,Skelton
Skelton@,Skelton@
Skelton_,Skelton_
Skelton__,Skelton__
Skelton___,Skelton___
SkeltonConjuer,SkeltonConjurer
SkeltonInvoke,SkeltonInvoke
SkeltonSpear,SkelSpearman
SkeltonSpear_,SkelSpearman_
SkeltonWarrior,SkeltonWarrior
Sleipnir,Sleipnir
Smilodon,Smilodon
Smith,Smith
Smith_,Smith_
Smith__,Smith__
Soldier,Mercenary
SoulSkelton,SoulSkelton
SpearSkeleton,SpearSkeleton
Spider,Spider
Steed,Steed
Steed_,Steed_
StoneGolem,StoneGolem
StrengthGolem,StrengthGolem
StunningGolila,Gorilla
Succubus,Succubus
Svadilfari,Svadilfari
SwiftHorse,SwiftHorse
SwiftHorse_,SwiftHorse_
Tainy,Tainy
TamedBear,TamedBear
TamedBoar_,TamedBoar_
TamedWolf,TamedWolf
Tarantula,Tarantula
Taron,Taron
Taron_,Taron_
Taurs,Taurs@
TaursKing,TaursKing
TaursKing@,TaursKing@
TaursKing_,TaursKing_
TaursKing__,TaursKing__
Tera,Tera
Theron,Theron
ThirdTrainer,ThirdTrainer
TowerOfThor,TowerOfThor
TownWatcher,TownWatcher
TownWatcher_,TownWatcher_
TrainerChief,Trainer_Chief
TrampleTiger,TrampleTiger
TransKnight,TransKnight
Treant,Treant
Treantier,Treantier
Troll,Troll
Troll_,Troll_
Troll__,Troll__
Troll___,Troll___
Uie,Uie
Uinsus,Uinsus
UndeadChief,UndeadChief
UndeadHell,UndeadHell
UndeadHell_,UndeadHell_
UndeadHell__,UndeadHell__
UndeadSkelton,UndeadSkelton
UndeadSkelton_,UndeadSkelton_
UndeadSkelton__,UndeadSkelton__
UndeadTroll,UndeadTroll
UndeadTroll_,UndeadTroll_
UndeadTroll__,UndeadTroll__
UndeadTroll___,UndeadTroll___
Unicorn,Unicorn
Valkyrie_Rosen,Valkyrie_Rosen
Valkyrie_Tina,Valkyrie_Tina
Verdes,Verdes
Verid_,Verid_
Verid__,Verid__
Vine,Vine
Vine_,Vine_
Vine__,Vine__
Virago,Virago
Virago_,Virago_
WarBoar,WarBoar
WarBoar_,WarBoar_
WarTaurs,WarTaurs
WarTaurs_,WarTaurs_
WarTaurs__,WarTaurs__
WaterGolem,WaterGolem
WaterGolem_,WaterGolem_
WaterGolem__,WaterGolem__
Wieland,Wielund
WildBoar,WildBoar
WildBoar_,WildBoar_
WildBoar__,WildBoar__
WildCyclops,WildCyclops
WildCyclops_,WildCyclops_
WildGhoul,WildGhoul
WildGhoul_,WildGhoul_
WildGhoul__,WildGhoul__
WildGhoul___,WildGhoul___
WildOrc,WildOrc
WildTaur,WildTaur
WildTaur_,WildTaur_
WildTaur__,WildTaur__
WiseGagoil,WiseGargoyle
WiseGagoil_,WiseGargoyle_
WiseGagoilKing,WiseGargoylKing
Wizard,Wizard
Wizard_,Wizard_
Wolf,Wolf
Wolf_,Wolf_
WriggleSwarm,WriggleSwarm
WriggleSwarm@,WriggleSwarm@
XenoCropper,XenoCropper
Zakum,Zakum
ZakumArcher,ZakumArcher
ZakumArcher_,ZakumArcher_
ZakumChief,ZakumChief
ZakumChief_,ZakumChief_
ZakumGuard,ZakumGuard
ZakumImp,ZakumImp
ZakumLord,ZakumLord
ZakumPicket,ZakumPicket
ZakumPicket_,ZakumPicket_
ZakumWarlok,ZakumWarlok
ZakumWarlok_,ZakumWarlok_
ZombieBear,ZombieBear
ZombieBear_,ZombieBear_
ZombieBear__,ZombieBear__
ZombieTroll,ZombieTroll
ZombieTroll__,ZombieTroll__
LichCruntKing,LichCruntKing
Fighter_Elf,Fighter_Elf
Archer_Elf,Archer_Elf
Hell_Rujeper,Hell Rujeper
Hell_Rujeper_,Hell Rujeper_
ThorTower,ThorTower
CabuncleKing,CarbunkleKing
HellZakum,HellZakum
HellZakum_,HellZakum_
GoldCabuncle,GoldCarbunkle
Valkyrier,Valkyrier
HellAmonChief,HellAmonChief
DarkShadow,DarkShadow
HellTemplar,HellTemplar
HellSorcerer,HellSorcerer
HellShaman,HellShaman
HellRanger,HellRanger
Barlog,Barlog
HellLich_,HellLich_
HellBatorero,HellBatorero
MageKalintz,MageKalintz
KalintzMage,KalintzMage
KalintzFight,KalintzFight
Sulrang,Sulrang
Valdor,Valdor
Bragi,Bragi
Vidar,Vidar
Heimdall,Heimdall
Uxmal,Uxmal
Freyja,Freyja
Carthago,Carthago
Creta,Trademan_Creta
Survivor_Derby,Survivor_Derby
DeathKnight___,DeathKnight___
Darksorcerer,Darksorcerer
DarkTemplar,DarkTemplar
DarkShaman,DarkShaman
DarkRanger,DarkRanger
DarkVerid,DarkVerid
MountMaster_,MountMaster_
AlchemyOdin,Refiner_Odin
RookieWarrior,RookieWarrior
WarriorGuard,WarriorGuard
Conjurer_Ehre,Ehre
Conjurer_Rassel,Racell
Delegate_Kibita,Civil_Delegate
Believer_Prona,Projnnah
Griphon_Master,Griffin_Master
MileageTrader,MileageTrader
U_Ni_Corn,Unicorn_
GremlinKing@,GremlinKing@
Wolf@,Wolf@
ChiefCrill@,ChiefCrill@
Lizard@,Lizard@
ArcherOrc@,ArcherOrc@
Iguana@,Iguana@
OrcKnight@,OrcKnight@
DragonPappy@,DragonPuppy@
HalfOrc@,HalfOrc@
Troll@,Troll@
Ghoul@,Ghoul@
HunterTroll@,HunterTroll@
Cabuncle@,Carbunkle@
FreakTroll@,FreakTroll@
Minotaur@,Minotaur@
FallenTroll@,FallenTroll@
GhoulChief@,GhoulChief@
Skelton____,Skelton____
High_Cabuncle_,High_Carbunkle_
ZombieBear@,ZombieBear@
Cyclops@,Cyclops@
SkelArcher@,SkelArcher@
OrcShaman@,OrcShaman@
OrcTrooper@,OrcTrooper@
ZombieTroll@,ZombieTroll@
UrNammu,UrNammu
Endless_Tower,Endless_Tower
Skeleton_,Skeleton_
SkeletonKnight_,SkeletonKnight_
SkeletonMage_,SkeletonMage_
AgmoCyclops@,AgmoCyclops
AgmoArgos@,AgmoArgos
AgmoElf@,AgmoElf
DarkElfArcher__,DarkElfArcher
CabuncleOrder@,CabuncleOrder
FreakTroll@@,FreakTroll
HunterTroll@@,HunterTroll
Minotaur___,Minotaur
Skelton@@,Skelton
HighCabuncle@@,HighCabuncle
Argos@,Argos
CruelZakum__,CruelZakum
DarkElfArcher_,DarkElfArcher
TaursKing___,TaursKing
Wriggle_Swarm_,Wriggle_Swarm_
King_Harabard,KingHarabard
Akelo_Cannon,Akelo_Cannon
Akelo_Barrack,Akelo_Barrack
Akelo_Commander,Akelo_Commander
Akelo_Treant,Akelo_Treant
Akelo_Protecter,Akelo_Protecter
King_Glantuar,KingHarabard
Hekalo_Cannon,Hekalo_Cannon
Hekalo_Barrack,Hekalo_Barrack
HekaloCommander,HekaloCommander
Hekalo_Treant,Hekalo_Treant
HekaloProtecter,HekaloProtecter
Red_Ranger,Red_Ranger
Red_Shaman,Red_Shaman
Red_sorcerer,Red_sorcerer
Red_Templar,Red_Templar
AkeloTrader,AkeloTrader
Akelo_Tower,Akelo_Tower
Hekalo_Tower,Hekalo_Tower
Blue_Ranger,Blue_Ranger
Blue_Shaman,Blue_Shaman
Blue_sorcerer,Blue_sorcerer
Blue_Templar,Blue_Templar
HekaloTrader,HekaloTrader
Magician__,Magician
Virago__,Virago
Aberes__,Aberes
Wizard__,Wizard
Pikeman__,Pikeman
FieldCombat,FieldCombatant
Special_Trader,Special_Trader
Special_Trader2,Special_Trader2
Khr_Commander,Khr_Commander
Khr_Killer,Khr_Killer
Khr_Attacker,Khr_Attacker
RujeperBroken__,RujeperBroken
IceQueenBeriel,IceQueenBeriel
IceQueen_Shadow,IceQueen_Shadow
Helriohdon¡¯s Baby,Helriohdon¡¯s Baby
Fauness¡¯s Baby,Fauness¡¯s Baby
Mad_Valkyrie,Mad_Valkyrie
